##1
#EAN Location Code,0,13,0
#Company Name,0,50,0
#Customer Code,0,25,0
#Short Name,0,10,0
#
|114          |บมจ.ซีพีแอ็กตร้า  สาขาที่ 114 (สิงห์บุรี)         |391114                   |MAKRO    
|115          |บมจ.ซีพีแอ็กตร้า สาขา 115 (บางบัวทอง)             |983752                   |MAKRO    
|116          |บมจ.ซีพีแอ็กตร้า สาขาที่ 116 (กาฬสินธุ์)          |461043                   |MAKRO    
|117          |บมจ.ซีพีแอ็กตร้า สาขาที่ 117 (อุดมสุข)            |983764                   |MAKRO    
|118          |บมจ.ซีพีแอ็กตร้า สาขาที่ 118 (รามคำแหง  สัมมากร)  |983768                   |MAKRO    
|119          |บมจ.ซีพีแอ็กตร้า สาขาที่ 119  (พิจิตร)            |121039                   |MAKRO    
|12           |บมจ.ซีพีแอ็กตร้า สาขาที่ 12 (ขอนแก่น)             |451041                   |MAKRO    
|120          |บมจ.ซีพีแอ็กตร้า สาขาที่ 120 (ปทุมธานี)           |983776                   |MAKRO    
|121          |บมจ.ซีพีแอ็กตร้า สาขาที่ 121 (บดินทรเดชา)         |983781                   |MAKRO    
|122          |บมจ.ซีพีแอ็กตร้า สาขาที่ 122 (ประชาอุทิศ)         |983782                   |MAKRO    
|123          |บมจ.ซีพีแอ็กตร้า สาขาที่ 123 (สุขุมวิท 71)        |983786                   |MAKRO    
|124          |บมจ.ซีพีแอ็กตร้า สาขาที่ 124 (นวมินทร์)           |983788                   |MAKRO    
|125          |บมจ.ซีพีแอ็กตร้า สาขาที่ 125 (ชะอำ)               |221061                   |MAKRO    
|126          |บมจ.ซีพีแอ็กตร้า สาขาที่ 126 (อ่อนนุช)            |983793                   |MAKRO    
|127          |บมจ.ซีพีแอ็กต้า สาขาที่ 127 (สุขสวัสดิ์)          |983794                   |MAKRO    
|128          |บมจ.ซีพีแอ็กต้า สาขาที่ 128 (กบินทร์บุรี)         |361103                   |MAKRO    
|129          |บมจ.ซีพีแอ็กตร้า สาขาที่ 129 (ลาดกระบัง)          |983807                   |MAKRO    
|13           |บมจ. ซีพีแอ็กตร้า สาขาที่ 13 (สุราษฎร์ธานี)       |741050                   |MAKRO    
|130          |บมจ.ซีพีแอ็กตร้า สาขาที่ 130 (นาทองเจริญ)         |983808                   |MAKRO    
|131          |บมจ.ซีพีแอ็กตร้า  สาขาที่ 131 (บ่อวิน)            |321149                   |MAKRO    
|132          |บมจ.ซีพีแอ็กตร้า สาขาที่ 132 (สัตหีบ)             |321146                   |MAKRO    
|133          |บมจ.ซีพีแอ็กตร้า สาขาที่ 133 (รามคำแหง 24)        |983813                   |MAKRO    
|134          |บมจ.ซีพีแอ็กตร้า สาขาที่ 134 (อมตะนคร)            |321147                   |MAKRO    
|135          |บมจ.ซีพีแอ็กตร้า สาขาที่ 135 (บางคอแหลม)          |983823                   |MAKRO    
|136          |บมจ.ซีพีแอ็กตร้า สาขาที่ 136 (ขอนแก่น 2)          |451141                   |MAKRO    
|137          |บมจ.ซีพีแอ็กตร้า สาขาที่ 137 (วงศกร 2)            |983841                   |MAKRO    
|138          |บมจ.ซีพีแอ็กตร้า สาขาที่ 138 (เหม่งจ๋าย)          |983844                   |MAKRO    
|139          |บมจ.ซีพีแอ็กตร้า สาขาที่ 139 (สุขุมวิท 22)        |983845                   |MAKRO    
|14           |บมจ. ซีพีแอ็กตร้า สาขาที่ 14 (อุบลราชธานี)        |551036                   |MAKRO    
|140          |บมจ.ซีพีแอ็กตร้า สาขาที่ 140 (นวลจันทร์)          |983849                   |MAKRO    
|141          |บมจ.ซีพีแอ็กตร้า สาขาที่ 141 (ลำลูกกา)            |983848                   |MAKRO    
|142          |บมจ. ซีพีแอ็กตร้าสาขาที่ 142 (แพรกษา)             |983854                   |MAKRO    
|143          |บมจ.ซีพีแอ็กตร้า (สาขาประดิษฐ์มนูธรรม)            |983860                   |MAKRO    
|144          |บมจ.ซีพีแอ็กตร้า(สาขาตลาดรุ่งโรจน์) คลอง 4        |983861                   |MAKRO    
|145          |บมจ.ซีพีแอ็กตร้า สาขาที่ 145 (พงษ์เพชร)           |983868                   |MAKRO    
|146          |บมจ.ซีพีแอ็กตร้าสาขาที่ 146 (อุตรดิตถ์            |151052                   |MAKRO    
|147          |บมจ.ซีพีแอ็กตร้า สาขาที่ 147 (เมืองทอง)           |983878                   |MAKRO    
|148          |บมจ.ซีพีแอ็กตร้า สาขาที่ 148 (เลียบคลอง 2)        |983880                   |MAKRO    
|149          |บมจ.ซีพีแอ็กตร้า สาขาที่ 149 (อ้อมน้อย)           |983881                   |MAKRO    
|15           |บมจ. ซีพีแอ็กตร้า สาขาที่ 15 (ระยอง)              |331045                   |MAKRO    
|150          |บมจ.ซีพีแอ็กตร้า สาขาที่ 150 (สนามบินน้ำ)         |983884                   |MAKRO    
|151          |บมจ.ซีพีแอ็กตร้า สาขาที่ 151 (เทพรักษ์)           |983893                   |MAKRO    
|152          |บมจ.ซีพีแอ็กตร้า สาขาที่ 152 (สมุทรสงคราม)        |983903                   |MAKRO    
|153          |บมจ.ซีพี แอ็กซ์ตร้า สาขาที่ 153 (เวียงสระ)        |983904                   |MAKRO    
|154          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 154 (ปราจีนบุรี)       |361105                   |MAKRO    
|155          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 155 (ปิ่นเกล้า)        |983911                   |MAKRO    
|156          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 156 (สมุทรปราการ)      |983906                   |MAKRO    
|157          |บมจ.ซีพีแอ็กซ์ต้า สาขาที่ 157 (นครราชสีมา 3)เซฟวัน|511230                   |MAKRO    
|158          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 158 (พรหมนิมิต)        |61185                    |MAKRO     
|159          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 159 (บ้านเลื่อม)       |431113                   |MAKRO    
|16           |บมจ. ซีพีแอ็กตร้า สาขาที่ 16 (นครสวรรค์)          |61015                    |MAKRO     
|160          |บมจ. ซีพีแอ็กตร้า สาขาที่ 160 (มหาชัย)            |983912                   |MAKRO    
|161          |บมจ. ซีพีแอ็กตร้า สาขาที่ 161 (ขอนแก่น 3)         |451145                   |MAKRO    
|162          |บมจ. ซีพีแอ็กตร้า สาขาที่ 162 (อมตะนคร 2)         |983923                   |MAKRO    
|163          |บมจ. ซีพีแอ็กตร้า สาขาที่ 163 (สงขลา)             |983928                   |MAKRO    
|164          |บมจ. ซีพีแอ็กตร้า สาขาที่ 164 (ชัยนาท)            |983932                   |MAKRO    
|165          |บมจ. ซีพีแอ็กตร้า สาขาที่ 165 (ถนนศรีอยุธยา)      |983935                   |MAKRO    
|166          |บมจ. ซีพีแอ็กตร้า สาขาที่ 166 (ราไวย์ 2)          |983931                   |MAKRO    
|167          |บมจ. ซีพีแอ็กตร้า สาขาที่ 167 (เชียงใหม่) จอมทอง  |983943                   |MAKRO    
|168          |บมจ. ซีพีแอ็กตร้า สาขาที่ 168 (บ้านบึง) ชลบุรี    |983949                   |MAKRO    
|169          |บมจ. ซีพีแอ็กตร้า สาขาที่ 169 (พังงา)             |983953                   |MAKRO    
|17           |บมจ. ซีพีแอ็กตร้า สาขาที่ 17 (จรัญสนิทวงศ์)       |982514                   |MAKRO    
|170          |บมจ. ซีพีแอ็กตร้า สาขาที่ 170 (อำนาจเจริญ)        |983956                   |MAKRO    
|171          |บมจ. ซีพีแอ็กตร้า สาขาที่ 171 (จอหอ) นครราชสีมา   |983955                   |MAKRO    
|172          |บมจ. ซีพีแอ็กตร้า สาขาที่ 172 (บ้านไผ่)           |983968                   |MAKRO    
|175          |บมจ. ซีพีแอ็กตร้า สาขาที่ 175 (ฟอเเรสเทียร์-บางนา |983979                   |MAKRO    
|18           |บมจ. ซีพีแอ็กตร้า สาขาที่ 18 (สาธร)               |982660                   |MAKRO    
|19           |บมจ. ซีพีแอ็กตร้า สาขาที่ 19 (นครปฐม)             |261041                   |MAKRO    
|2            |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 2 (แจ้งวัฒนะ)         |981034                   |MAKRO    
|20           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 20 (สุรินทร์)         |531088                   |MAKRO    
|21           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 21 (สามเสน)           |982926                   |MAKRO    
|22           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 22 (N.Sithamrt)       |731113                   |MAKRO    
|23           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 23 (เชียงราย)         |191107                   |MAKRO    
|231086       |บ.ซีเ.เจ.เอ็กซ์เพรส กรุ๊ป จก. สำนักงานใหญ่        |231086                   |CJ    
|232          |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 232 (มหาชัย )         |983912                   |MAKRO    
|24           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 24 (สกลนคร)           |581063                   |MAKRO    
|25           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 25 (S.panburi)        |271122                   |MAKRO    
|26           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 26 (Chantaburi)       |341071                   |MAKRO    
|27           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 27 (ภูเก็ต)            |641064                   |MAKRO    
|28           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 28 (ร้อยเอ็ด)         |481068                   |MAKRO    
|29           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 29  (ตรัง)             |661094                   |MAKRO    
|3            |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 3 (ศรีนครินทร์)       |981035                   |MAKRO    
|30           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 30  (สระแก้ว)          |781068                   |MAKRO    
|300          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 300 (ตลาดวงศกร)        |983745                   |MAKRO    
|301          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 301 (พระราม 4)         |983751                   |MAKRO    
|302          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 302 (ทองหล่อ)          |983772                   |MAKRO    
|303          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 303 (ศิริมังคลาจารย์)  |11201                    |MAKRO     
|31           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 31  (สมุย)             |741139                   |MAKRO    
|32           |บมจ.ซีพีแอ็กซ์ตร้า  สาขาที่ 32 (บุรีรัมย์)        |521092                   |MAKRO    
|33           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 33 (ศรีสะเกษ)    |541083                   |MAKRO    
|34           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 34 (ลำพูน)       |021024                   |MAKRO    
|35           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 35 (กระบี่)      |651051                   |MAKRO    
|350          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 350 (รามอินทรากม. 4)   |983818                   |MAKRO    
|351          |บมจ.ซีพีแอ็กซ์ตร้า สาขาชิโนพาร์ค                  |983869                   |MAKRO    
|352          |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 352 (พัฒนาการ)         |983879                   |MAKRO    
|36           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 36 (เพชรบุรี)    |221057                   |MAKRO    
|37           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 37 (สาขาชัยภูมิ) |411089                   |MAKRO    
|38           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 38 (สาขาสระบุรี) |381100                   |MAKRO    
|39           |บมจ.ซีพีแอ็กซ์ตร้า จำกัด สาขาที่ 39 (สาขาปราณบุรี)|211132                   |MAKRO    
|4            |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 4 (บางบอน)            |981036                   |MAKRO    
|40           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 40 (สาขาฉะเชิงเทรา)    |311065                   |MAKRO    
|41           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 41 (สาขาเชียงใหม่2)    |011190                   |MAKRO    
|42           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 42  (รามอินทรา)        |983413                   |MAKRO    
|43           |บมจ.ซีพีแอ็กซ์ตร้าสาขาที่ 43 (ชุมพร)              |611101                   |MAKRO    
|44           |บมจ.ซีพีแอ็กซ์ตร้า  สาขาที่ 44 (สาขาพัทยา)        |321138                   |MAKRO    
|45           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 45 (สาขากำแพงเพชร)     |51060                    |MAKRO     
|46           |บมจ.ซีพีแอ็กซ์ตร้า  สาขาที่ 46 (สาขากาญจนบุรี)    |251061                   |MAKRO    
|47           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 47  (สาขาลพบุรี)       |391112                   |MAKRO    
|48           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 48 (สาขาหนองคาย)       |441079                   |MAKRO    
|49           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 49  (สาขาราชบุรี)      |231088                   |MAKRO    
|5            |บมจ. ซีพีแอ็กซ์ตร้าสาขาที่ 5 (ชลบุรี)             |321005                   |MAKRO    
|50           |บมจ.ซีพีแอ็กซ์ตร้าสาขาที่ 50  (สาขาแม่ริม)        |11196                    |MAKRO     
|51           |บมจ.ซีพีแอ็กซ์ตร้าสาขาที่ 51  (สาขาอยุธยา)        |291095                   |MAKRO    
|52           |บมจ.ซีพีแอ็กซ์ตร้าสาขาที่ 52  (สาขาลำปาง)         |31082                    |MAKRO     
|53           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 53 (สาขาหัวหิน)        |211136                   |MAKRO    
|54           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 54  (สาขาตลาดไท)       |983591                   |MAKRO    
|55           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 55  (สาขาเลย)          |421060                   |MAKRO    
|56           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 56  (สาขาเพชรบูรณ์)    |111100                   |MAKRO    
|57           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 57 (บางพลี)            |983609                   |MAKRO    
|58           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 58  (สาขามุกดาหาร)     |561023                   |MAKRO    
|59           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 59  (สาขาสตูล)         |721024                   |MAKRO    
